# D_real	D_model
1240.2907	1190.5675
1313.2060	1227.9137
1141.6965	1086.9692
1654.9169	1657.5796
2150.9128	2055.4489
1366.2793	1280.2265
1184.9705	1250.2532
1300.9596	1286.7129
1161.9312	1188.0130
1237.0922	1264.4074
975.2918	950.0984
1173.8215	1215.9979
1354.6985	1524.8374
1239.9734	1205.9308
1161.9135	1120.6021
806.9647	843.1910
1454.6120	1496.0160
1050.9986	975.1267
1230.6486	1299.1339
1257.6470	1270.1827
1443.6139	1333.1579
1107.9079	1148.0070
1162.5132	1257.3540
1259.0627	1555.3267
1203.1571	1209.7971
2341.8546	2357.2208
1291.9950	1626.5556
1308.1426	1557.6277
1791.5022	2079.7449
1401.5663	1667.5965
1016.2869	1152.9957
738.1517	806.3430
1579.4072	1851.7732
1264.7075	1375.3370
984.2871	1116.5241
1242.0926	1372.5090
1166.3511	1278.0188
1653.7848	1868.8496
1507.7390	1862.8500
1393.5042	1346.9324
1498.8042	1685.9336
1113.5672	1154.3557
1192.2542	1140.5152
1315.3577	1281.3052
1111.0932	1021.1112
1306.8711	1254.4070
1405.4128	1332.6436
1053.5867	1168.3861
1509.7642	1421.7658
2288.6671	2071.9826
2429.0640	2082.5662
1868.0254	1774.7107
1663.2573	1592.9890
1180.3211	1085.1599
1189.6571	1097.6821
631.2385	580.5515
919.6456	877.3580
1489.0171	1372.5269
1585.7579	1819.0500
1305.1080	1412.0478
1383.5845	1305.3501
1196.7941	1120.3798
1376.4403	1328.8687
771.9313	750.9241
1264.8091	1164.0030
1835.3468	1609.2557
1318.5378	1193.1999
1090.3953	1015.4418
1353.9627	1246.7329
1132.1921	1023.2663
972.2484	916.0562
978.0281	895.7874
1210.5561	1124.5572
1684.0701	1629.9948
1310.6750	1306.7551
2760.8908	2663.2024
593.4223	585.7252
1685.3836	1742.3329
2679.7408	2576.5952
2726.5911	2513.2968
2022.2347	2194.2730
2966.9887	2898.0621
700.4741	656.8683
1087.1872	1179.1412
2709.9387	2657.0971
1448.1854	1508.1973
1141.7469	1072.9739
1248.6945	1154.0823
1208.5537	1260.3313
2015.1528	1795.4985
