# d_ij	D_ij  (Smith-Waterman)
77.0000	1322.1815
85.0000	1268.3801
84.0000	1073.1990
95.0000	1252.4233
82.0000	1076.9048
93.0000	1280.1766
66.0000	844.2985
78.0000	759.1443
65.0000	673.2399
91.0000	1330.5022
55.0000	599.9767
100.0000	1791.3447
88.0000	1312.3445
92.0000	1788.2505
74.0000	1042.6313
47.0000	626.9131
51.0000	681.0022
73.0000	1225.4746
90.0000	1389.0270
78.0000	1307.4877
58.0000	674.6347
84.0000	966.6064
75.0000	1029.3901
92.0000	1219.1390
64.0000	779.2612
92.0000	1191.8725
86.0000	833.8609
79.0000	938.4690
95.0000	1023.7558
78.0000	1129.9310
64.0000	813.9312
78.0000	1603.6783
90.0000	1043.0340
88.0000	1166.1715
79.0000	1221.5711
115.0000	1213.1694
78.0000	1118.9281
85.0000	968.6176
87.0000	1115.5501
84.0000	1053.0527
101.0000	1134.8145
100.0000	1181.6700
85.0000	997.3184
80.0000	890.3415
68.0000	1106.5062
76.0000	1135.1934
83.0000	1253.2502
80.0000	1140.6349
71.0000	785.4655
100.0000	1169.5059
119.0000	1498.7421
97.0000	1025.9727
103.0000	1102.7148
72.0000	818.8480
80.0000	872.1216
91.0000	1289.8791
53.0000	671.7351
68.0000	886.0609
72.0000	817.1903
101.0000	1872.9688
84.0000	1039.5557
66.0000	947.6793
79.0000	1221.4008
52.0000	968.3698
43.0000	560.5676
58.0000	1056.3049
58.0000	1132.8177
51.0000	740.8941
100.0000	1203.0312
109.0000	1201.0545
131.0000	1601.0134
93.0000	1119.1515
65.0000	1173.1104
80.0000	1397.7511
88.0000	1200.7631
103.0000	1261.5752
74.0000	1038.4623
76.0000	897.2246
50.0000	1020.8056
99.0000	1128.1578
90.0000	1081.8410
94.0000	1073.1524
94.0000	1119.6124
82.0000	936.8287
120.0000	1323.4606
94.0000	1220.6064
72.0000	959.8083
60.0000	596.4294
72.0000	1143.6363
66.0000	1033.0169
117.0000	1968.9581
63.0000	891.5582
60.0000	1031.9302
54.0000	897.1733
75.0000	675.3340
87.0000	1008.0218
98.0000	1053.4116
86.0000	891.8049
118.0000	1619.6012
82.0000	833.0546
77.0000	999.6980
63.0000	1301.5883
65.0000	756.9914
81.0000	1026.1832
108.0000	1392.5531
71.0000	1018.8719
93.0000	1032.0601
75.0000	1188.3855
92.0000	1850.1686
89.0000	1249.4591
92.0000	1063.0221
79.0000	942.1868
83.0000	999.6259
59.0000	1020.6723
94.0000	1209.0939
68.0000	1067.0914
90.0000	1065.5215
95.0000	1094.5556
98.0000	976.1229
89.0000	915.2901
92.0000	1067.0276
86.0000	1032.6374
85.0000	1013.4318
85.0000	1182.3248
80.0000	857.8625
73.0000	953.2576
79.0000	1020.1627
105.0000	1946.2569
44.0000	834.1031
56.0000	1014.3944
57.0000	785.5520
55.0000	811.7955
54.0000	940.8103
74.0000	1345.8202
61.0000	1075.0907
94.0000	1625.5227
40.0000	581.6838
58.0000	886.3318
56.0000	821.6958
66.0000	726.9003
63.0000	646.2662
99.0000	1241.9614
96.0000	1177.1763
63.0000	786.5901
58.0000	798.8892
84.0000	1123.8754
102.0000	1475.5013
76.0000	1126.1812
82.0000	1454.7343
96.0000	1092.0366
89.0000	1096.7862
109.0000	1123.6814
91.0000	1493.3787
75.0000	1056.0739
85.0000	1101.5934
50.0000	688.4301
95.0000	1131.0155
85.0000	1486.3230
89.0000	1064.9714
95.0000	1299.7061
107.0000	1073.4151
123.0000	1219.5425
75.0000	1523.9882
79.0000	1259.2871
43.0000	504.5275
98.0000	1652.0012
84.0000	1125.1844
66.0000	881.0834
115.0000	2027.1408
64.0000	1237.0077
85.0000	1547.1561
44.0000	673.1211
78.0000	1119.6714
89.0000	912.0548
75.0000	933.5416
96.0000	940.5828
45.0000	588.2482
106.0000	1027.9786
85.0000	1078.8605
111.0000	1051.9106
58.0000	1273.7566
48.0000	783.3748
111.0000	1641.3519
96.0000	1146.8618
92.0000	1146.7293
80.0000	899.9178
33.0000	507.3263
85.0000	1678.5792
75.0000	1622.2343
57.0000	999.4498
107.0000	2672.0801
73.0000	1362.9131
71.0000	1584.3270
51.0000	772.9347
90.0000	2391.9816
73.0000	1360.3867
74.0000	1174.6165
50.0000	737.1947
49.0000	610.7995
48.0000	657.9058
53.0000	836.6959
70.0000	1223.5555
90.0000	998.3406
82.0000	1155.4393
76.0000	1034.2688
82.0000	988.2206
69.0000	1268.5094
86.0000	949.4546
55.0000	752.1941
72.0000	977.1612
82.0000	975.6085
99.0000	1067.3350
78.0000	947.5801
84.0000	1460.0740
102.0000	994.0181
97.0000	1338.6844
79.0000	1276.9260
115.0000	1196.8208
56.0000	1053.4629
71.0000	1332.4939
54.0000	678.4836
71.0000	824.4441
83.0000	951.2539
67.0000	924.7854
80.0000	823.4100
79.0000	859.4068
62.0000	746.2895
97.0000	1104.2300
78.0000	1022.7003
73.0000	800.2974
69.0000	1140.4227
70.0000	923.2898
92.0000	968.6423
68.0000	901.1260
81.0000	851.6736
104.0000	1328.8446
79.0000	1196.2458
46.0000	657.7902
108.0000	1597.6257
68.0000	1073.6014
59.0000	710.1183
88.0000	1219.3244
71.0000	996.4557
61.0000	825.8208
81.0000	1061.1183
95.0000	1128.5903
61.0000	928.3383
67.0000	869.2134
65.0000	1051.8422
59.0000	733.1439
104.0000	1977.3002
62.0000	1153.5580
86.0000	1445.5324
79.0000	1074.6143
99.0000	1317.0224
89.0000	1337.6233
83.0000	1312.6081
92.0000	1218.9143
94.0000	1916.1649
79.0000	1730.8576
95.0000	913.3871
112.0000	1201.9634
93.0000	1319.5226
79.0000	1180.4220
102.0000	1052.2357
88.0000	1094.3400
100.0000	988.6658
81.0000	857.4824
80.0000	1078.4934
83.0000	1323.4274
73.0000	800.5223
48.0000	1034.8449
84.0000	985.7728
45.0000	1063.0955
75.0000	883.7579
85.0000	1086.0000
93.0000	1167.7996
92.0000	1043.0283
68.0000	680.6967
91.0000	1104.0670
106.0000	1359.7176
86.0000	953.9098
96.0000	974.8518
100.0000	990.7310
56.0000	708.5139
58.0000	1050.4018
66.0000	879.5863
92.0000	1018.4086
67.0000	879.9841
80.0000	1730.8275
111.0000	1720.9288
65.0000	808.1114
67.0000	739.2402
73.0000	898.1381
61.0000	861.1876
57.0000	747.6711
81.0000	1398.2546
86.0000	1079.5277
69.0000	895.4708
62.0000	1075.7806
69.0000	962.4365
48.0000	582.7727
96.0000	1202.4142
62.0000	757.8575
87.0000	925.5852
97.0000	1550.2013
77.0000	999.0936
73.0000	888.1374
93.0000	1151.0083
92.0000	963.6991
62.0000	908.8608
71.0000	1532.1893
96.0000	1051.4428
67.0000	829.7542
64.0000	616.9700
71.0000	902.2217
107.0000	1420.9476
100.0000	1542.6095
94.0000	1025.8206
31.0000	745.5870
80.0000	890.2247
59.0000	848.9499
82.0000	1031.7558
70.0000	925.0492
67.0000	637.9436
86.0000	1204.1213
35.0000	770.1247
81.0000	1025.7505
47.0000	875.0520
75.0000	1100.0527
99.0000	1691.5638
67.0000	934.8091
61.0000	949.3935
42.0000	629.2249
59.0000	945.1032
67.0000	976.1373
63.0000	869.3423
79.0000	1053.1496
73.0000	880.1386
97.0000	1427.2001
81.0000	1027.9825
81.0000	957.0810
82.0000	763.5810
104.0000	1102.5080
101.0000	1123.1937
92.0000	1201.3759
91.0000	1049.0739
65.0000	917.4247
59.0000	943.9470
115.0000	2131.2297
60.0000	879.2042
73.0000	933.2417
63.0000	819.9244
48.0000	563.9042
57.0000	705.2404
22.0000	380.5312
78.0000	1023.5487
79.0000	881.3921
53.0000	860.7369
78.0000	1138.6220
93.0000	893.9284
73.0000	844.5141
62.0000	1212.8677
100.0000	1198.4623
94.0000	1096.2883
104.0000	1289.4681
58.0000	770.1013
70.0000	797.5086
88.0000	975.5347
92.0000	1222.6741
103.0000	1352.9154
89.0000	1265.3995
58.0000	887.6373
67.0000	906.3620
76.0000	924.5713
63.0000	1004.8303
59.0000	861.7958
61.0000	675.7781
98.0000	1151.1195
101.0000	958.3966
92.0000	968.0661
63.0000	924.2532
63.0000	609.1075
81.0000	937.7697
83.0000	866.8495
85.0000	842.1140
60.0000	827.0913
69.0000	855.2684
68.0000	871.6834
106.0000	1105.0520
97.0000	1138.6395
93.0000	1625.1068
85.0000	1779.6955
89.0000	1390.4604
93.0000	1259.4872
99.0000	1140.8716
113.0000	1213.5782
76.0000	629.2345
68.0000	1307.3194
88.0000	1054.1727
117.0000	1823.2093
76.0000	809.7679
95.0000	892.1726
102.0000	1109.9441
78.0000	731.8880
109.0000	1120.9978
114.0000	1563.6777
52.0000	550.0218
69.0000	950.2400
100.0000	804.9795
73.0000	906.0353
83.0000	1052.2870
83.0000	1073.5269
69.0000	1164.7060
58.0000	992.8565
