arm	study_id	study_group	pmid	compartment	family	n_samples	n_subjects	n_TRA	n_TRB	n_IGH	n_IGK	n_IGL
blood_reference	GSE62190	PMID:26237430	26237430	blood	sra	37	37	12	23	37	37	34
blood_reference	GSE94892	PMID:28683259	28683259	blood	sra	37	37	32	35	37	37	37
blood_reference	GSE120913	PMID:31600201	31600201	blood	sra	36	36	36	36	36	36	36
blood_reference	GSE98212	PMID:28498840	28498840	blood	sra	36	20	31	32	25	35	14
blood_reference	GSE155918	PMID:33771921	33771921	blood	sra	36	6	33	36	36	36	35
blood_reference	GSE174566	PMID:34128839	34128839	blood	sra	36	36	36	36	36	36	34
blood_reference	GSE206023	GSE206023		blood	sra	36	36	35	35	36	36	35
blood_reference	PRJNA921862	PRJNA921862		blood	sra	36	1	22	29	36	36	34
blood_reference	GSE202177	GSE202177		blood	sra	35	35	35	35	35	35	35
blood_reference	GSE112057	PMID:29950172	29950172	blood	sra	35	35	33	33	31	31	31
blood_reference	PRJNA870919	PMID:38110534.0	38110534.0	blood	sra	35	1	9	30	10	35	30
blood_reference	GSE254647	GSE254647		blood	sra	35	1	35	35	35	35	35
blood_reference	GSE236651	GSE236651		blood	sra	35	34	33	35	35	35	35
blood_reference	GSE262619	GSE262619		blood	sra	35	35	35	33	35	35	35
blood_reference	GSE176230	PMID:35045871	35045871	blood	sra	34	17	34	34	34	34	34
blood_reference	SRP453103	SRP453103		blood	sra	34	4	21	25	33	34	34
blood_reference	SRP306515	SRP306515		blood	sra	34	6	34	34	26	31	13
blood_reference	GSE192757	GSE192757		blood	sra	34	33	33	34	33	34	34
blood_reference	PRJNA449520	PMID:31167967	31167967	blood	sra	33	20	31	33	18	33	32
blood_reference	PRJNA828265	PRJNA828265		blood	sra	33	1	5	18	31	26	19
blood_reference	SRP324681	SRP324681		blood	sra	32	10	29	31	32	32	32
blood_reference	GSE102677	PMID:30753544	30753544	blood	sra	32	11	27	32	4	32	26
blood_reference	GSE230214	GSE230214		blood	sra	32	32	31	32	32	32	32
blood_reference	GSE246525	GSE246525		blood	sra	32	26	32	32	32	32	32
blood_reference	PRJNA918688	PRJNA918688		blood	sra	32	1	28	31	32	32	32
blood_reference	GSE151159	PMID:33354656	33354656	blood	sra	32	16	23	30	30	30	9
blood_reference	GSE224615	GSE224615		blood	sra	32	1	32	32	32	32	32
blood_reference	GSE169359	PMID:33941086	33941086	blood	sra	32	32	31	30	5	31	22
blood_reference	GSE252508	GSE252508		blood	sra	31	1	31	28	31	31	31
blood_reference	SRP518251	SRP518251		blood	sra	31	31	3	20	30	27	26
blood_reference	SRP263166	SRP263166		blood	sra	31	4	31	31	31	31	31
blood_reference	GSE68549	GSE68549		blood	sra	31	31	31	31	29	31	31
blood_reference	PRJNA807370	PMID:37438430	37438430	blood	sra	31	1	23	26	31	31	31
blood_reference	PRJNA816146	PRJNA816146		blood	sra	30	1	21	27	29	30	29
blood_reference	GSE139912	PMID:32487996	32487996	blood	sra	30	21	29	30	30	30	29
blood_reference	SRP590915	SRP590915		blood	sra	30	30	28	30	30	30	30
blood_reference	PRJEB25761	PMID:29618666	29618666	blood	sra	30	1	0	25	25	30	29
blood_reference	SRP362270	SRP362270		blood	sra	30	2	30	30	30	30	30
blood_reference	PRJNA929287	PRJNA929287		blood	sra	29	1	23	29	26	29	27
blood_reference	GSE227585	GSE227585		blood	sra	29	22	27	29	29	29	29
blood_reference	GSE212645	GSE212645		blood	sra	29	29	29	29	29	29	29
blood_reference	GSE113964	PMID:30696862	30696862	blood	sra	29	29	26	29	14	27	17
blood_reference	GSE229014	GSE229014		blood	sra	29	29	27	28	29	29	29
blood_reference	PRJNA526259	PMID:30897114	30897114	blood	sra	29	1	0	29	5	8	2
blood_reference	GSE163605	PMID:34484204.0	34484204.0	blood	sra	29	29	27	29	28	29	24
blood_reference	PRJNA798602	PRJNA798602		blood	sra	28	1	28	28	27	28	27
blood_reference	PRJNA706114	PRJNA706114		blood	sra	28	1	28	28	25	28	28
blood_reference	SRP250072	SRP250072		blood	sra	28	8	18	26	28	28	28
blood_reference	GSE253498	GSE253498		blood	sra	28	28	28	28	28	28	28
blood_reference	PRJEB27958	PRJEB27958		blood	sra	28	1	25	28	28	28	28
blood_reference	SRP572837	SRP572837		blood	sra	27	6	26	27	27	27	27
blood_reference	GSE168400	PMID:35060899	35060899	blood	sra	27	27	0	0	27	5	18
blood_reference	SRP461591	SRP461591		blood	sra	27	1	27	27	27	27	27
blood_reference	GSE219154	GSE219154		blood	sra	27	27	27	27	27	27	27
blood_reference	PRJNA887046	PMID:36325355	36325355	blood	sra	27	1	26	27	27	25	26
blood_reference	PRJNA705602	PMID:34586734	34586734	blood	sra	27	1	26	26	25	25	25
blood_reference	GSE152421	GSE152421		blood	sra	27	27	27	27	27	27	25
blood_reference	SRP465252	SRP465252		blood	sra	27	4	27	27	26	27	26
blood_reference	GSE215456	GSE215456		blood	sra	27	27	27	27	27	27	27
blood_reference	GSE211626	GSE211626		blood	sra	27	27	27	27	27	27	27
blood_reference	PRJNA973064	PRJNA973064		blood	sra	27	1	25	27	24	27	27
blood_reference	GSE174621	GSE174621		blood	sra	26	26	24	26	26	26	25
blood_reference	PRJNA821976	PRJNA821976		blood	sra	26	1	26	26	2	26	26
blood_reference	GSE202947	GSE202947		blood	sra	26	26	26	26	26	26	26
blood_reference	SRP446957	SRP446957		blood	sra	26	2	25	26	26	26	26
blood_reference	GSE213119	GSE213119		blood	sra	26	26	10	16	26	26	26
blood_reference	SRP561865	SRP561865		blood	sra	26	1	25	26	26	26	26
blood_reference	PRJNA916211	PRJNA916211		blood	sra	26	1	16	23	25	25	15
blood_reference	SRP094502	SRP094502		blood	sra	26	26	22	24	24	26	22
blood_reference	PRJNA299618	PRJNA299618		blood	sra	26	1	26	26	7	25	22
blood_reference	GSE124676	PMID:32047471	32047471	blood	sra	25	19	21	25	23	23	23
blood_reference	GSE142514	PMID:33876749	33876749	blood	sra	25	25	14	20	24	25	24
blood_reference	GSE273149	GSE273149		blood	sra	25	25	6	20	23	23	23
blood_reference	PRJNA800337	PRJNA800337		blood	sra	25	1	23	22	21	24	16
blood_reference	SRP503794	SRP503794		blood	sra	25	25	15	25	0	25	25
blood_reference	SRP519537	SRP519537		blood	sra	25	1	8	18	25	24	24
blood_reference	SRP565677	SRP565677		blood	sra	24	24	22	23	24	24	24
blood_reference	GSE225138	PMID:36964168	36964168	blood	sra	24	24	11	14	24	24	23
blood_reference	GSE181750	GSE181750		blood	sra	24	24	22	22	24	24	23
blood_reference	GSE161031	GSE161031		blood	sra	24	3	22	24	24	24	22
blood_reference	SRP303034	SRP303034		blood	sra	24	24	24	24	22	24	21
blood_reference	SRP353971	SRP353971		blood	sra	24	3	24	24	24	24	24
blood_reference	GSE262073	GSE262073		blood	sra	24	24	24	24	24	24	24
blood_reference	GSE232127	GSE232127		blood	sra	24	24	24	24	24	24	24
blood_reference	GSE270376	PMID:39335143	39335143	blood	sra	24	24	24	24	24	24	24
blood_reference	GSE201397	GSE201397		blood	sra	24	23	24	24	24	24	24
blood_reference	GSE174552	GSE174552		blood	sra	24	24	16	20	24	24	22
blood_reference	GSE164208	PMID:33509158	33509158	blood	sra	24	24	24	24	24	24	24
blood_reference	PRJNA682434	PRJNA682434		blood	sra	23	1	20	23	22	23	23
blood_reference	SRP371279	SRP371279		blood	sra	23	6	23	23	23	23	23
blood_reference	SRP549239	SRP549239		blood	sra	23	2	20	23	23	23	23
blood_reference	PRJNA354367	PMID:28148290	28148290	blood	sra	23	1	19	23	21	23	19
blood_reference	PRJNA925652	PRJNA925652		blood	sra	23	1	23	23	23	23	23
blood_reference	PRJNA459561	PMID:31468702	31468702	blood	sra	23	1	22	23	22	23	22
blood_reference	GSE141147	GSE141147		blood	sra	23	19	13	18	23	23	23
blood_reference	SRP417761	SRP417761		blood	sra	23	2	7	16	23	23	23
blood_reference	PRJNA494155	PMID:32064895	32064895	blood	sra	23	1	23	23	23	23	23
blood_reference	PRJNA713341	PRJNA713341		blood	sra	23	1	23	23	23	23	23
blood_reference	SRP396420	SRP396420		blood	sra	22	3	22	22	21	21	21
blood_reference	SRP419916	SRP419916		blood	sra	22	1	5	16	22	22	21
blood_reference	PRJNA659032	PRJNA659032		blood	sra	22	1	9	11	22	22	21
blood_reference	SRP418364	SRP418364		blood	sra	22	4	22	22	22	22	22
blood_reference	PRJNA771014	PMID:35013133	35013133	blood	sra	22	1	22	22	22	22	22
blood_reference	PRJEB28597	PRJEB28597		blood	sra	22	1	22	22	17	22	22
blood_reference	SRP294275	SRP294275		blood	sra	22	14	21	22	22	22	22
blood_reference	GSE157859	PMID:33361761	33361761	blood	sra	22	14	22	22	22	22	22
blood_reference	SRP276081	SRP276081		blood	sra	22	1	22	22	22	22	22
blood_reference	GSE142351	PMID:33511305	33511305	blood	sra	22	9	22	22	2	22	22
blood_reference	GSE46665	PMID:24205042	24205042	blood	sra	21	9	17	20	17	21	20
blood_reference	SRP419922	SRP419922		blood	sra	21	1	9	15	21	21	21
blood_reference	GSE102574	GSE102574		blood	sra	21	21	20	19	3	21	19
blood_reference	GSE100206	GSE100206		blood	sra	21	21	3	17	17	21	16
blood_reference	GSE278382	GSE278382		blood	sra	20	20	20	20	20	20	20
blood_reference	PRJNA756565	PMID:34977060	34977060	blood	sra	20	1	14	16	20	20	20
blood_reference	GSE166761	PMID:34427831	34427831	blood	sra	20	6	16	19	20	20	20
blood_reference	GSE250453	PMID:38338652	38338652	blood	sra	20	5	18	20	20	19	18
blood_reference	SRP534211	SRP534211		blood	sra	20	2	20	20	20	20	20
blood_reference	PRJNA1051786	PRJNA1051786		blood	sra	20	1	20	20	20	20	20
blood_reference	GSE165080	GSE165080		blood	sra	20	20	20	20	20	20	20
blood_reference	GSE267625	GSE267625		blood	sra	20	20	20	20	20	20	20
blood_reference	GSE181646	GSE181646		blood	sra	20	20	20	20	20	20	20
blood_reference	GSE277709	PMID:39844875.0	39844875.0	blood	sra	20	20	20	20	20	20	20
blood_reference	SRP371907	SRP371907		blood	sra	20	13	20	20	20	20	20
blood_reference	GSE191088	GSE191088		blood	sra	20	20	9	18	20	20	20
